name,url,type,seal_brewer_member,ba_associate_member,ab_inbev,state
Brewfinity Brewing Co,www.sweetmulletsbrewing.com,Brewpub,Y,,,WI
Brewheim Brewing Company,www.brewheim.com,Planning,,Y,,CA
Brewhouse At Bear River,,Micro,,,,CA
Brewing Academy Of Montana At FVCC,www.fvcc.edu,Planning,,Y,,MT
Brewing Tree Beer Company,,Micro,Y,,,VA
Brewjeria Company,www.brewjeriacompany.com,Planning,,Y,,CA
BrewLAB,www.brewlabcraft.com/,Micro,,,,CA
Brewmaster Jack,www.brewmasterjack.com,Contract,,,,MA
Brewmasters Tavern / Brewmasters Brewing Services,,Micro,Y,,,MA
Brewmented,www.brewmented.com,Micro,Y,,,CO
"BrewPlan, Inc.",www.brewplan.com,Planning,,Y,,WI
Brewpop Brewery,www.brewpop.com,Brewpub,,,,FL
Brewport Brewing Co,www.brewportct.com,Brewpub,Y,,,CT
BrewSA Brewing Co,www.brewsa.com,Micro,,,,NY
Brewstel,www.brewstel.com,Micro,,,,WV
Brewster Bros Brewing Co,www.chippewariverdistillery.com/beer/,Micro,,,,WI
Brewster River Pub & Brewery,www.brewsterriverpubnbrewery.com,Brewpub,Y,,,VT
Brewtality,www.brewtality.com,Contract,,,,CA
Brewyard Beer Company LLC,www.brewyardbeercompany.com,Micro,Y,,,CA
Briar Common Brewery,www.briarcommon.com,Brewpub,Y,,,CO
BriarScratch Brewing,www.briarscratchbrewing.com,Micro,Y,,,TN
Brice's Brewing Company,www.bricesbrewing.com,Micro,Y,,,NC
Brick & Mortar Brewing Company,,Micro,Y,,,VA
Brick and Barrel,www.brickandbarrelbrewing.com,Micro,Y,,,OH
Brick and Feather Brewery,www.brickandfeatherbrewery.com,Micro,,,,MA
Brick House Brewery and Restaurant,www.brickhousebrewery.com,Brewpub,Y,,,NY
Brick Oven Pizza Co / Brick & Forge Brewing,www.brickovenpizzacompany.com,Brewpub,,,,AR
Brick Oven Pizza Co / Brick & Forge Brewing,,Brewpub,,,,AR
Brick Oven Pizza Co/ Brick & Forge Brewing,,Brewpub,,,,TX
Brick Vault Brewery & BBQ,www.gagehotel.com,Brewpub,Y,,,TX
Brick Works Brewing and Eats,www.brickworksde.com,Brewpub,Y,,,DE
Brickfield Brewing,www.brickfieldbrewing.com,Planning,,Y,,WI
BrickHaven Brewing Company,,Micro,Y,,,MI
Brickside Brewery,www.bricksidebrewery.com,Micro,,,,MI
BrickStone Brewery,,Micro,,,,IL
BrickStone Brewery Brewpub,www.brickstonebrewery.com,Brewpub,,,,IL
Bricktown Brewery,www.bricktownbrewery.com,Brewpub,Y,,,OK
Bricktown Brewery,,Planning,,Y,,OK
Bricktowne Brewing Co,www.bricktownebeer.com,Brewpub,,,,OR
BrickTree Brewing Co.,www.bricktreebrewing.com,Planning,,Y,,
Brickway Brewery and Distillery,www.drinkbrickway.com,Micro,Y,,,NE
Brickyard Brewing Company,www.brickyardbrewingcompany.com,Brewpub,Y,,,NY
Brickyard Hollow Brewing Co,www.brickyardhollow.com,Brewpub,,,,ME
Bridal Veil Brewing,www.facebook.com/Bridal-Veil-Brewing-114925729113371,Micro,,,,CA
Bridge 99 Brewery,,Micro,,,,OR
Bridge And Tunnel Brewery,www.bridgeandtunnelbrewery.com,Micro,Y,,,NY
Bridge Brew Works,www.bridgebrewworks.com,Micro,Y,,,WV
Bridge Street Brew Works,,Planning,,Y,,
BridgePort Brewing Co,www.bridgeportbrew.com,Regional,Y,,,OR
Bridger Brewing Company,www.bridgerbrewing.com,Brewpub,Y,,,MT
Brieux Carre Brewing Company,www.brieuxcarre.com,Micro,Y,,,LA
Brigadoon Brewery & Brew School,www.brigadoonbrewery.com,Micro,Y,,,TX
Bright Ideas Brewing,www.brightideasbrewing.com,Micro,Y,,,MA
Bright Light Brewing Company,,Micro,,,,NC
Bright Penny Brewing Company,www.brightpennybrewing.com,Contract,,Y,,NC
Brighter Day's Brewing Company,www.brighterdaysbeer.com,Planning,,Y,,FL
Brightside Aleworks,www.brightsidealeworks.com,Micro,,,,IA
Brim Kitchen and Brewery,www.brimbrewery.com,Brewpub,Y,,,OH
Brindle Haus Brewing Company,www.brindlehausbrewing.com,Micro,Y,,,NY
Brink Brewing Company,www.brinkbrewing.com,Micro,Y,,,OH
Brinx Jones Brewery,www.brinxjones.com,Micro,,,,NJ
Brioux City Brewery,www.briouxcitybrewery.com,Micro,,,,IA
Bristol Brewing Co,www.bristolbrewing.com,Micro,Y,,,CO
Bristol Restaurant LLC,,Planning,,Y,,
Bristol Station Brews & Taproom,www.bristolbrew.com,Micro,,,,VA
Brite Eyes Brewing Co,,Brewpub,,,,MI
British Bulldog Brewery,www.britishbulldogbrewery.com,Micro,,,,CA
Brix City Brewing,www.brixcitybrewing.com,Micro,Y,,,NJ
Brix Taphouse and Brewery,www.brixtaphouseandbrewery.com,Brewpub,Y,,,CO
Brixton Brewing,www.brixtonbrewing.com,Brewpub,,,,PA
Broad Brook Brewing Company,www.broadbrookbrewing.com,Micro,Y,,,CT
Broad Leaf Farm Brewery,,Planning,,Y,,CT
Broad Ripple Brewing Co,,Brewpub,Y,,,IN
Broadway Brewery,www.broadwaybrewery.com,Brewpub,Y,,,MO
Brocklebank Craft Brewing,www.brocklebankvt.com,Micro,,,,VT
Broken Arrow Brewing Co.,www.brokenarrowbrewingco.com,Micro,Y,,,OK
"Broken Bat Brewing Company, LLC",www.brokenbatbrewery.com,Micro,Y,,,WI
Broken Boundary Brewery,,Planning,,Y,,HI
Broken Bow Brewery,www.brokenbowbrewery.com,Micro,Y,,,NY
Broken Cauldron Taproom and Brewery,www.brokencauldrontaproom.com,Micro,Y,,,FL
Broken Chair Brewery,www.brokenchairbrewery.com,Micro,Y,,,PA
Broken Clock Brewing Cooperative,www.brokenclockbrew.com,Micro,Y,,,MN
Broken Coat Brewing,,Planning,,Y,,FL
Broken Compass Brewing,www.brokencompassbrewing.com,Micro,Y,,,CO
Broken Gate Brewing,,Planning,,Y,,MD
Broken Goblet Brewing,www.brokengoblet.com,Brewpub,Y,,,PA
Broken Horn Brewing Company,www.brokenhornbrewing.com,Micro,,,,ID
Broken Plow Brewery,www.brokenplowbrewery.com,Micro,Y,,,CO
Broken Rock Brewery,birdcreekfarms.com,Brewpub,Y,,,MI
Broken Symmetry Gastro Brewery,,Brewpub,Y,,,CT
Broken Tooth Brewing Co,,Brewpub,Y,,,AK
Broken Trail Brewery & Distillery,www.brokentrailspirits.com,Micro,,,,NM
Broken Wheel Brewery,,Brewpub,Y,,,LA
Brokerage Brewing Company,www.brokeragebrewing.com,Micro,Y,,,IN
Bron Yr Aur Brewing,,Brewpub,Y,,,WA
Bronze Owl Brewing,www.bronzeowlbrewing.com,Brewpub,Y,,,MO
Brookeville Beer Farm,www.brookevillebeerfarm.com,Micro,Y,,,MD
Brooklyn Brewery,www.brooklynbrewery.com,Regional,Y,,,NY
Brooks Brewery / Northside Lounge,www.northsidelounge.com,Brewpub,,,,NJ
Brooks Brewing,www.bbrewing.com,Micro,,,,MI
Broomtail Craft Brewery,www.broomtailcraftbrewery.com,Micro,Y,,,NC
Brother Ass Brewing,www.brotherassbrewing.com,Micro,,,,WA
Brother Joseph's Brewing Company,www.xcmdt.com,Planning,,Y,,MT
Brothers Cascadia Brewing,www.brotherscascadiabrewing.com,Micro,,,,WA
Brothers Craft Brewing,www.brotherscraftbrewing.com,Micro,Y,,,VA
Brothers Kershner Brewing Co,www.brotherskershner.com,Micro,,,,PA
Brotherton Brewing Company,www.brothertonbrewing.com,Micro,,,,NJ
Brotherwell Brewing,,Micro,Y,,,TX
Brouwerij Cursus Keme,,Brewpub,Y,,,NC
Brouwerij Les Deplorables,,Micro,,,,WA
Brouwerij West,www.brouwerijwest.com,Micro,Y,,,CA
Brown Iron Brewhouse,www.browniron.com,Brewpub,Y,,,MI
Brown Truck Brewery,www.browntruckbrewery.com,Micro,Y,,,NC
Brown's Brewing Co,www.brownsbrewing.com,Brewpub,Y,,,NY
BRU Handbuilt Ales and Eats,www.bruboulder.com,Brewpub,Y,,,CO
Bruehol Brewing LLC,www.bruehol.com,Proprietor,Y,,,CA
Brueprint Brewing Company LLC,www.brueprint.com,Micro,Y,,,NC
Bruery Terreux,www.thebruery.com,Micro,Y,,,CA
"Bruery, The",www.thebruery.com,Micro,Y,,,CA
Brues Alehouse Brewing Company,www.bruesalehouse.com,Brewpub,Y,,,CO
Brugge Brasserie,www.bruggebrasserie.com,Brewpub,Y,,,IN
BruRm At Bar,www.barnightclub.com,Brewpub,,,,CT
Brush Creek Brewing Company,,Brewpub,Y,,,NE
Brutopia Brewery and Kitchen,www.brutopiabrewery.com,Brewpub,,,,RI
Bruz Beers,www.bruzbeers.com,Micro,Y,,,CO
BS Brew Works Inc.,www.thebsbrewworks.com,Planning,,Y,,
BS Brewing,www.bsbrewingtx.com,Micro,,,,TX
Bubba Brew's Brewing Company,www.bubbabrewsbrewingco.com,Micro,Y,,,AR
Bubes Brewery,www.bubesbrewery.com,Brewpub,,,,PA
Buchanan Craft LLC,,Planning,,Y,,IL
Buck Bald Brewing Corporation,www.buckbaldbrewing.com,Planning,,Y,,GA
Buck Hill Brewery and Restaurant,www.buckhillbrewery.com,Brewpub,Y,,,NJ
Bucket Brigade Brewery,www.bucketbrigadebrewery.com,Micro,Y,,,NJ
Buckeye Beer Engine,www.buckeyebeerengine.com,Brewpub,,,,OH
Buckeye Lake Brewery,,Micro,Y,,,OH
Buckhorn Brewers LLC,,Micro,,,,CO
BuckleDown Brewing,buckledownbrewing.com,Micro,Y,,,IL
Buckner's Brewing Co,www.bucknerbrewing.com,Brewpub,,,,MO
Buck's Brewing Co,,Micro,Y,,,OH
Bucks County Brewery,www.buckscountybrewery.com,Micro,,,,PA
Buffalo Bayou Brewing Co,www.buffbrew.com,Micro,Y,,,TX
Buffalo Bills Brewery,www.buffalobillsbrewery.com,Brewpub,Y,,,CA
Buffalo Brewing Co,,Planning,,Y,,WA
Buffalo Brewing Company,www.buffalo-brewing-company.com,Micro,Y,,,NY
Buffalo Brewing Company At The Water Buffalo,www.thewaterbuffalo.com,Micro,,,,AR
Buffalo Brewpub,www.buffalobrewpub.com,Brewpub,,,,NY
Buffalo Commons Brewing Company,www.buffalocommonsbeer.com,Micro,,,,ND
Buffalo Creek Brewing,www.facebook.com/buffalocreekbrewing,Micro,Y,,,IL
Buffalo Mountain Brewery,,Micro,Y,,,VA
Buffalo Ridge Brewing,www.bentbarrel.com,Planning,,Y,,SD
Buffalo RiverWorks Brewery,www.buffaloriverworks.com,Brewpub,,,,NY
Buffalo Theory Brewing Co. LLC,www.Buffalotheorybrewingco.com,Planning,,Y,,FL
Buffalo Water Beer Co,www.buffalowaterbeer.com,Contract,,,,WI
Bugnutty Brewing Company,www.bugnutty.com,Brewpub,Y,,,FL
Building 8 Brewing,,Micro,Y,,,MA
Bull & Bones Brewhaus & Grill,www.bullandbones.com,Brewpub,Y,,,VA
Bull & Bush Brewery,www.bullandbush.com,Brewpub,Y,,,CO
Bull and Barrel Brew Pub,www.bullandbarrelbrewpub.com,Brewpub,,,,NY
Bull and Goat Brewery,www.bullandgoatbrewery.com,Micro,,,,MD
Bull City Burger And Brewery,www.bullcityburgerandbrewery.com,Brewpub,Y,,,NC
Bull Creek Brewing Company,www.bullcreekbrewing.com,Proprietor,Y,,,TX
Bull Durham Beer Co,www.bulldurhambeer.com,Micro,Y,,,NC
Bull Falls Brewery LLC,www.bullfallsbrewery.com,Micro,Y,,,WI
Bull Island Brewing Company,www.bullislandbrewing.com,Brewpub,Y,,,VA
Bull n Bear Brewery,www.bullnbearbrewery.com,Planning,,Y,,
Bulldog Brewing,www.bulldogbrewingco.com,Brewpub,,,,IN
Bullfrog Brewery,www.bullfrogbrewery.com,Brewpub,Y,,,PA
Bullfrog Brewery - Production Only,,Micro,Y,,,PA
Bullfrog Creek Brewing Company,www.bullfrogcreekbrewing.com,Micro,Y,,,FL
"Bullquarian Brewhouse, LLC",,Brewpub,,,,WI
Bullthistle Brewing Co.,,Brewpub,,,,NY
Bunker Brewing Co,www.bunkerbrewingco.com,Micro,Y,,,ME
Bunsenbrewer,www.bunsenbrewer.com,Brewpub,,,,OR
Buon Appetito Ristorante,www.buon-appetito-ristorante.com,Brewpub,,,,PA
Buoy Beer Company,www.buoybeer.com,Micro,Y,,,OR
Bur Oak Company,www.buroakbeer.com,Micro,,,,MO
Burdick Brewery,www.burdickbrewery.com,Proprietor,,,,WA
Burgaw BrueWorks,,Planning,,Y,,
Burgeon Beer Company,www.burgeonbeer.com,Micro,Y,,,CA
Burgh’ers Brewing,Burgherspgh.com,Micro,Y,,,PA
Burgundian Brewing Co.,www.facebook.com/BurgundianBrewing,Micro,,,,CO
Burial Beer Co,www.burialbeer.com,Micro,Y,,,NC
Burial Beer Co Forestry Camp,,Micro,Y,,,NC
Buried Acorn Brewing Company,www.buriedacorn.com,Micro,Y,,,NY
Burke-Gilman Brewing,www.burkegilmanbrewing.com,Micro,Y,,,WA
Burke's Alewerks,www.burkesalewerks.com,Micro,Y,,,MA
Burley Oak Craft Brewery,www.burleyoak.com,Micro,Y,,,MD
Burlington Beer Company,www.burlingtonbeercompany.com,Micro,Y,,,VT
"Burly Brewing Company, LLC",www.burlybrewing.com,Micro,Y,,,CO
Burn'Em Brewing,www.burnembrewing.com,Brewpub,Y,,,IN
Burnin Daylight Brewing Company,,Planning,,Y,,CA
Burning Barrel Brewing Company,www.burningbarrelbrewco.com,Micro,,,,CA
Burning Beard Brewing,www.burningbeardbrewing.com,Micro,Y,,,CA
Burning Brothers Brewing,burnbrosbrew.com,Micro,Y,,,MN
Burning Bush Brewery,,Planning,,Y,,IL
Burns Family Artisan Ales,,Planning,,Y,,CO
Burnside Brewing Co,www.burnsidebrewco.com,Micro,Y,,,OR
Burnt City Brewing,www.burntcitybrewing.com,Micro,Y,,,IL
Burnt Hickory Brewery,www.burnthickorybrewery.com,Micro,,,,GA
Burnt Timber Brewing,www.burnttimbertavern.com,Brewpub,Y,,,NH
Burt Lake Brewery / Seasons of the North Winery,www.burtlakebrewery.com,Micro,,,,MI
Burwood Brewing Company,www.burwoodbrewing.com,Micro,Y,,,WA
Bury Me Brewing Company,www.burymebrewing.com,Micro,,,,FL
Busted Knuckle Brewery,,Micro,Y,,,MT
Busted Sandal Brewing Company,www.bustedsandalbrewing.com,Micro,,,,TX
Buster's Brew Pub,www.drummwr.com,Brewpub,,,,NY
Butcherknife Brewing Company,www.butcherknifebrewing.com,Micro,Y,,,CO
Butler Brew Works,www.butlerbrewworks.com,Brewpub,,,,PA
Butte Brewing Co,www.buttebrewing.com,Micro,,,,MT
Butternuts Beer,www.butternutsbeer.com,Micro,Y,,,NY
"Button Brew House, LLC",www.button.beer,Micro,Y,,,AZ
Buttonwoods Brewery,www.buttonwoodsbrewery.com,Micro,Y,,,RI
Buzz Bomb Brewing Co,www.buzzbombbrewingco.com,Micro,,,,IL
Buzzards Bay Brewing Co,www.buzzardsbrew.com,Micro,Y,,,MA
"BuzzKill Brewing Company, LLC",buzzkillbrewing.com,Planning,,Y,,
"BW Farm, LLC",,Planning,,Y,,MD
Byers Brewing Company,,Planning,,Y,,IL
Byway Brewing Company,www.bywaybrewing.beer,Brewpub,Y,,,IN
C.B. and Potts/Big Horn Brewery - Englewood,www.cbpotts.com,Brewpub,Y,,,CO
C.B. and Potts/Big Horn Brewery - Highlands Ranch,www.cbpotts.com,Brewpub,Y,,,CO
C.B. and Potts/Big Horn Brewery - Westminster,www.cbpotts.com,Brewpub,Y,,,CO
Cabarrus Brewing Company,www.cabarrusbrewing.com,Micro,Y,,,NC
Cabin Boys Brewery,www.cabinboysbrewery.com,Micro,Y,,,OK
Cabinet Mountain Brewing Co,www.cabinetmountainbrewing.com,Brewpub,Y,,,MT
Caboose Brewing Co.,caboosebrewing.com,Brewpub,Y,,,VA
Cactus Land Brewing Company,www.cactuslandbrewing.com,Micro,,,,TX
Cadillac Straits Brewing Company,,Planning,,Y,,
Cafe Karibo,www.cafekaribo.com,Brewpub,,,,FL
Cage Brewing,,Micro,,,,FL
Cahaba Brewing Co,www.cahababrewing.com,Micro,Y,,,AL
Cairn Brewing,www.cairnbrewing.com,Micro,Y,,,WA
Cajun Brewing,www.cajunbrewing.com,Micro,Y,,,LA
Calapooia Brewing Co / Siletz Ales,www.calapooiabrewing.com,Micro,,,,OR
Caldera Brewing Co,www.calderabrewing.com,Micro,Y,,,OR
Caledonia Brewing,www.caledoniabrewing.com,Micro,Y,,,FL
Calfkiller Brewing Co,www.calfkillerbeer.com,Micro,,,,TN
Calibration Brewery,www.calibrationbrewery.com,Brewpub,,,,MO
Calicraft Brewing Co,,Micro,Y,,,CA
California Cider Co.,www.acecider.com,Planning,,Y,,CA
California Wild Ales,,Micro,,,,CA
Call To Arms Brewing Company,www.facebook.com/calltoarmsbrewing,Micro,Y,,,CO
Callahan West Brewery,,Micro,,,,NM
Calusa Brewing Company,www.calusabrewing.com,Micro,Y,,,FL
Calvert Brewing Co,calvertbrewingcompany.com,Micro,Y,,,MD
Calvert Brewing Co,www.calvertbrewingcompany.com,Micro,Y,,,MD
Camber Brewing Company,www.camberbrewing.com,Planning,,Y,,
Cambridge Brewing Co,www.cambridgebrewingcompany.com,Brewpub,Y,,,MA
Cambridge House Brew Pub - Granby,www.cbh.beer,Brewpub,Y,,,CT
Camino Brewing Co LLC,www.caminobrewing.com,Micro,Y,,,CA
Camp Colvos Brewing,www.campcolvos.com,Micro,Y,,,WA
Campbell Brewing Co,,Micro,Y,,,CA
Can Of Worms Brewing,www.canofwormsbrewing.com,Planning,,Y,,CA
Canadian River Brewing Co.,,Planning,,Y,,OK
Canal Park Brewery,www.canalparkbrewery.com,Brewpub,Y,,,MN
Candia Road Brewing / Nepenthe Ale House,www.candiaroad.com,Micro,,,,NH
Candlewood Brewing Co.,www.candlewoodbrewing.com,Planning,,Y,,
"Cane River Brewing Co., L.L.C",www.caneriverbrewing.com,Planning,,Y,,LA
Canned Heat Craft Beer Company,,Planning,,Y,,
Cannon Ball Brewing Company,www.cannonballbrewingindy.com,Brewpub,,,,IN
Cannon Brewpub,,Brewpub,Y,,,GA
Cannonball Creek Brewing Co,www.cannonballcreekbrewing.com,Micro,Y,,,CO
Canon & Draw Brewing Company,www.canonanddraw.beer,Micro,Y,,,VA
Canteen Brewhouse,www.canteenbrewhouse.com,Micro,Y,,,NM
Canterbury Aleworks,www.canterburyaleworks.com,Micro,Y,,,NH
"Canton Brew Works, LLC",www.cantonbrewworks.com,Micro,,,,MI
Canton Brewing Company,www.drinkcantonbeer.com,Brewpub,Y,,,OH
Canyon Club Brewery,www.canyonclub.works,Planning,,Y,,CA
Canyon Creek Brewing,www.canyoncreekbrewing.com,Micro,Y,,,MT
Canyon Lake Brewing Company,,Planning,,Y,,NE
Canyon Lakes Golf Course & Brewery,www.canyonlakesgolfbrew.com,Brewpub,Y,,,CA
Cape Ann Brewing Co,,Brewpub,Y,,,MA
Cape Ann Lanes,,Planning,,Y,,MA
Cape Charles Brewing Company,www.capecharlesbrewing.com,Brewpub,Y,,,VA
Cape Cod Beer,www.capecodbeer.com,Micro,Y,,,MA
Cape May Brewing Company,www.capemaybrewery.com,Micro,Y,,,NJ
Cape May Brewing Company - Rio Grande,www.capemaybrewery.com,Micro,Y,,,NJ
Cape Vincent Brewing Co,www.capevincentbrewing.com,Micro,,,,NY
Capital Brewery Co Inc,www.capitalbrewery.com,Regional,,,,WI
Capitol City Brewing Co,www.capcitybrew.com,Contract,,Y,,DC
Capitol Creek Brewery,www.capitolcreekbrewery.com,Brewpub,Y,,,CO
Capstan Bar Brewing Company,www.capstanbarbrewing.com,Micro,Y,,,VA
Captain Fatty's,www.captainfattys.com,Micro,Y,,,CA
Captain Lawrence Brewing Co,www.captainlawrencebrewing.com,Regional,Y,,,NY
Captains Brewing Company,,Micro,,,,WA
Caracara Brewing Company,www.caracarabrewingcompany.com,Micro,Y,,,TX
Carbon Brewing Company,www.carbonbrewing.com,Planning,,Y,,IN
Carbondale Beer Works,www.carbondalebeerworks.com,Brewpub,Y,,,CO
Cardinal Craft Brewing Academy/ Skagit Valley College,www.skagit.edu,Micro,,,,WA
Carey's Brew House,www.careysbrewhouse.com,Brewpub,,,,NY
Carillon Brewing Company,www.carillonbrewingco.org,Brewpub,,,,OH
Carlyle Brewing Co,www.carlylebrewing.com,Brewpub,Y,,,IL
Carmel Valley Brewing Company,www.carmelvalleybrewing.com,Micro,,,,CA
Carmody Irish Pub & Brewing,www.carmodyirishpub.com,Brewpub,,,,MN
Carolina Bauernhaus Ales,carolinabauernhaus.com,Brewpub,Y,,,SC
Carolina Brewery - Chapel Hill,www.carolinabrewery.com,Brewpub,Y,,,NC
Carolina Brewery - Pittsboro,www.carolinabrewery.com,Micro,Y,,,NC
Carolina Brewing Co,www.carolinabrew.com,Micro,,,,NC
Carroll Brewing Co.,www.carrollbrewing.com,Micro,Y,,,IA
Carson's Brewery,www.carsonsbrewery.com,Micro,Y,,,IN
Carters Brewing,www.cartersbrewing.com,Micro,Y,,,MT
Carton Brewing Co,www.cartonbrewing.com,Micro,Y,,,NJ
Cartridge Brewing,www.cartridgebrewing.com,Planning,,Y,,
Carver Brewing Co,carverbrewing.com,Brewpub,Y,,,CO
Cary Ale House,caryalehousebrewing.com,Brewpub,Y,,,IL
Casa Agria Specialty Ales,,Proprietor,Y,,,CA
Casa Vieja LLC,www.casaviejaevents.com,Planning,,Y,,NM
Cascade Brewing,www.cascadebrewing.com,Brewpub,Y,,,OR
Cascade Brewing Barrel House,www.cascadebrewing.com,Micro,Y,,,OR
Cascade Brewing Blending House,www.cascadebrewing.com,Micro,Y,,,OR
Cascade Lakes Brewing Co,www.cascadelakes.com,Micro,Y,,,OR
Cascadia Brewing Co.,www.cascadiahomebrew.com,Micro,Y,,,WA
Casey Brewing and Blending,www.caseybrewing.com,Micro,Y,,,CO
Cash Brewing Company,www.cashbrewing.com,Brewpub,Y,,,WA
Castle Brewing Co,www.castlebrewingco.com,Brewpub,,,,MI
Castle Church Brewing Community,www.castlechurchbrewing.com,Planning,,Y,,FL
Castle Danger Brewery,www.castledangerbrewery.com,Micro,Y,,,MN
Castle Island Brewing Co.,www.castleislandbeer.com,Micro,Y,,,MA
Castle Point Brewery,www.castlepointbrewery.com,Contract,,,,NJ
Castle Rock Beer Company,www.castlerockbeerco.com,Micro,Y,,,CO
Castleburg Brewery,www.castleburgbrewery.com,Micro,Y,,,VA
Casual Animal,www.casualanimalbrewing.com,Micro,Y,,,MO
Catalina Brewing Company,,Micro,,,,AZ
Catalina Island Brew House,www.catalinaislandbrewhouse.com,Micro,,,,CA
Catawba Brewing Co,www.CatawbaBrewing.com,Regional,Y,,,NC
Catawba Brewing Co - Asheville,www.catawbavalleybrewingcompany.com,Micro,Y,,,NC
Catawba Brewing Co - Charlotte,,Micro,Y,,,NC
Catawba Island Brewing Company,catawbaislandbrewing.com,Micro,Y,,,OH
Catfish Charlies / Catfish Creek Brew Pub,www.catfishcharliesdubuque.com,Brewpub,,,,IA
Cathedral Square Brewery,www.cathedralsquarebrewery.com,Contract,,,,MO
Catskill Brewery,www.catskillbrewery.com,Micro,Y,,,NY
Cave Brewing Co,www.cavebrewing.com,Micro,,,,PA
Cave Mountain Brewing Co,www.cavemountainbrewing.com,Brewpub,,,,NY
Cavendish Brewing Company,www.cavendishbrewing.com,Micro,,,,NC
Cavern Brewing At Lowes Foods,www.lowesfoods.com,Brewpub,Y,,,NC
Cayo Hueso Brewing,,Planning,,Y,,FL
Cayucos Brewing Co,www.cayucosbeer.com,Contract,,,,CA
CB Craft Brewers,www.cbcraftbrewers.com,Micro,,,,NY
Cebula Craft Brewing LLC dba GameCraft Brewing,www.gamecraftbrewing.com,Planning,,Y,,CA
Cedar Creek Brewery,www.cedarcreekbrewery.com,Brewpub,Y,,,TX
Cedar Creek Brewing Co.,www.drinkatthecreek.com,Micro,Y,,,IN
Cedar Crest Brewing and Wine Bar,www.facebook.com/enjoythestoreredbluff,Brewpub,,,,CA
Cedar Point Brewery,,Planning,,Y,,MA
Cedar Run Brewery,,Planning,,Y,,VA
Cedar Springs Brewing Company,www.CSBrew.com,Brewpub,Y,,,MI
Celis Brewery,www.celisbeers.com,Micro,Y,,,TX
Cellador Ales,www.celladorales.com,Micro,Y,,,CA
Cellar Brewing Co,www.cellarbrewingco.com,Brewpub,,,,MI
Cellar West Artisan Ales,www.cellarwest.com,Micro,Y,,,CO
Cellar Works Brewing Co.,www.cellarworksbrewing.com,Micro,Y,,,PA
Cellarmaker Brewing Company,www.cellarmakerbrewing.com,Micro,Y,,,CA
Cellarman's Pub & Brewery,www.cellarmanspub.com,Brewpub,Y,,,TX
"Cellarmen's Meadery, Microbrewery and Cidery",www.cellarmens.com,Micro,,,,MI
Cen Cal Brewing,www.oshobrewing.com,Planning,,Y,,
Center Ice Brewing Company,www.centericebrewery.com,Micro,Y,,,MO
Center of the Universe Brewing Co,www.cotubrewing.com,Micro,,,,VA
Center Pivot,,Planning,,Y,,KS
Center Square Brewing / Altland House,centersquarebrew.com,Brewpub,,,,PA
Center Street Brewing Company,,Planning,,Y,,CT
Centerpoint Brewing,www.centerpointbrewing.com,Micro,Y,,,IN
Central 28 Beer Company,www.central28beer.com,Micro,Y,,,FL
Central Coast Brewing Co - Higuera St.,,Brewpub,Y,,,CA
Central Coast Brewing Co - Monterey St.,www.centralcoastbrewing.com,Micro,Y,,,CA
Central Machine Brewing,,Planning,,Y,,TX
Central Standard Brewing,www.drinkcsb.com,Micro,Y,,,KS
Central State Brewing,www.centralstatebrewing.com,Micro,Y,,,IN
Central Waters Brewing Co,www.centralwaters.com,Regional,Y,,,WI
Cerberus Brewing Company,www.cerberusbrewingco.com,Brewpub,Y,,,CO
Cercis Brewing Company,,Micro,,,,WI
Cerebral Brewing,www.cerebralbrewing.com,Micro,Y,,,CO
Cervecentro,www.cervecentro.com.ve,Planning,,Y,,FL
Cerveceria Ater,,Planning,,Y,,
Cerveceria Del Pueblo,,Planning,,Y,,CA
Cerveceria Gran Arrecife Maya,,Contract,,Y,,
Cerveceria Rancho Humo,www.cerveceriaranchohumo.com,Contract,,Y,,FL
Cerveza Guajira,,Planning,,Y,,FL
CH Evans Brewing Co/Albany Pump Station,www.evansale.com,Brewpub,Y,,,NY
Chafunkta Brewing Co,www.chafunkta.com,Micro,Y,,,LA
Chagrin Beer Company,,Contract,,,,OH
Chain Reaction Brewing Company,www.chainreactionbrewingco.com,Micro,,,,CO
Chainline Brewing Company,www.chainlinebrewing.com,Micro,Y,,,WA
Champion Brewing Company,www.championbrewingcompany.com,Brewpub,Y,,,VA
Chandeleur Island Brewing Company,www.chandeleurbrew.com,Micro,Y,,,MS
Chandler's Ford Brewing LLC,chandlersfordbrewing.com,Planning,,Y,,AL
Channel Brewing Co.,www.channelbrewing.co,Micro,Y,,,CA
"Chaos Mountain Brewing, LLC",www.chaosmountainbrewing.com,Micro,Y,,,VA
Chapel and Main,www.chapelandmain.com,Brewpub,,,,NH
Chapel Brewing,www.chapelbrewing.com,Micro,,,,MN
Chapman Crafted Beer,www.chapmancrafted.beer,Micro,Y,,,CA
Chapman's Brewing Company,www.chapmansbrewing.com,Brewpub,Y,,,IN
Chapman's Brewing Company,www.chapmansbrewing.com,Planning,,Y,,IN
Chappapeela Farms Brewery,www.chapbrewery.com,Micro,,,,LA
Charles Towne Fermentory,www.chsfermentory.com,Micro,,,,SC
Charleville Vineyard & Microbrewery,www.charlevillevineyard.com,Micro,Y,,,MO
Charlie and Jakes Brewery and Grille,www.cjbrewery.com,Brewpub,,,,FL
"Charlie's Steak, Ribs & Ale",www.charliesbranson.com,Brewpub,,,,MO
